

KMO_TEST:

KMO_METRIC: 0.674999301157518
The KMO test yields a DECENT degree of common variance.

BARTLETT_SPHERICITY_TEST:


	Bartlett's test of sphericity

data:  InputData
X-squared = 47775, df = 11325, p-value < 2.2e-16



FACTOR_ANALYSIS_RESULTS:

Principal Components Analysis
Call: principal(r = InputData, nfactors = NumberOfFactors, residuals = FALSE, 
    rotate = "varimax", method = "regression")
Standardized loadings (pattern matrix) based upon correlation matrix
               RC2   RC1   RC3   RC4   RC5     h2   u2 com
play         -0.02 -0.08  0.10  0.03  0.43 0.2025 0.80 1.2
video        -0.05 -0.07 -0.06  0.03  0.44 0.2027 0.80 1.1
game         -0.01 -0.11  0.07  0.06  0.36 0.1509 0.85 1.3
phone        -0.01 -0.04  0.18  0.01  0.17 0.0623 0.94 2.1
wait         -0.04  0.22  0.12 -0.05 -0.05 0.0697 0.93 1.9
computer      0.08 -0.02  0.02  0.11  0.05 0.0230 0.98 2.4
call         -0.07 -0.02  0.27  0.14  0.02 0.1003 0.90 1.7
move          0.07  0.00  0.24  0.05  0.05 0.0677 0.93 1.3
quick         0.10  0.13  0.06 -0.02 -0.04 0.0316 0.97 2.5
pay           0.39 -0.14 -0.01 -0.09  0.15 0.1998 0.80 1.7
attention     0.42 -0.16 -0.03 -0.09  0.19 0.2440 0.76 1.8
answer        0.22 -0.04  0.15  0.05 -0.02 0.0748 0.93 2.0
work         -0.01  0.10  0.10  0.46 -0.03 0.2296 0.77 1.2
coffee       -0.04  0.22  0.08 -0.01 -0.05 0.0601 0.94 1.5
told         -0.01  0.07  0.35 -0.01 -0.05 0.1297 0.87 1.1
place        -0.07  0.07  0.19  0.04  0.02 0.0502 0.95 1.7
room          0.04  0.16  0.02 -0.09  0.23 0.0875 0.91 2.2
study         0.24  0.23 -0.03  0.16 -0.13 0.1546 0.85 3.4
interest      0.16 -0.11  0.16  0.05  0.13 0.0799 0.92 3.9
bore          0.14 -0.09 -0.07  0.03  0.21 0.0737 0.93 2.5
hear         -0.02 -0.03  0.25 -0.02  0.01 0.0631 0.94 1.0
realize       0.10  0.08  0.10  0.11  0.00 0.0378 0.96 3.9
talk          0.05  0.04  0.43 -0.12  0.01 0.2005 0.80 1.2
task         -0.06 -0.06  0.05  0.29  0.04 0.0984 0.90 1.3
research      0.02  0.04  0.11  0.20 -0.05 0.0574 0.94 1.8
thought       0.04  0.05  0.20  0.13  0.05 0.0657 0.93 2.1
night         0.10  0.22 -0.01  0.16  0.09 0.0910 0.91 2.7
minute        0.13  0.14  0.08  0.01  0.07 0.0502 0.95 3.1
conversation -0.03 -0.01  0.32  0.00  0.00 0.1049 0.90 1.0
long          0.00  0.14  0.09  0.10  0.07 0.0430 0.96 3.2
order        -0.02  0.14  0.04  0.07 -0.04 0.0278 0.97 1.9
job          -0.03 -0.06  0.19  0.17 -0.05 0.0708 0.93 2.4
late          0.04  0.24  0.00  0.10 -0.03 0.0699 0.93 1.4
finish        0.02  0.27 -0.08  0.22  0.15 0.1478 0.85 2.8
rest          0.09  0.15 -0.02  0.03  0.13 0.0497 0.95 2.8
stuff        -0.03  0.05  0.08  0.03  0.01 0.0096 0.99 2.4
